x       y
-19.897 46.2015 
9.65869 -114.608 
23.4734 14.1474 
1.60381 -13.3848 
-26.5843 -123.251 
23.2436 9.05577 
1.45415 21.0218 
14.1587 -96.2318 
-24.4369 -11.5295 
-7.27171 88.7604 
26.0577 121.198 
20.7742 -43.4062 
-3.43378 16.0347 
-18.0086 108.877 
21.4734 -29.0142 
-9.77222 111.958 
-0.325259 33.6157 
-1.91993 33.3506 
-24.2955 -46.7225 
10.1766 -104.304 
6.99534 -70.9961 
-10.4586 142.404 
0.71678 5.14784 
-4.56869 81.7719 
-1.73246 42.8575 
-25.2151 -101.335 
-0.0820736 22.94 
18.4701 -79.5827 
-15.5114 126.156 
-4.62816 60.3847 
11.3303 -137.733 
8.21117 -124.914 
9.7927 -136.211 
18.6611 -92.5763 
24.5921 58.9623 
3.50453 -68.6687 
-0.620214 55.7829 
16.3659 -79.0624 
-1.27268 30.423 
-19.3309 92.5462 
-4.8431 55.8922 
-2.41341 37.1238 
-2.57579 81.8236 
-2.03877 40.971 
7.16789 -73.3169 
24.5384 86.0437 
-11.3769 73.4115 
20.3345 -43.8417 
12.4064 -96.7049 
-25.969 -74.9161 
1.34932 -10.6441 
9.83065 -128.977 
22.4982 -2.78536 
0.791611 4.3191 
-3.25482 43.6312 
-18.7054 118.686 
6.28292 -33.4168 
18.1667 -111.131 
17.7502 -91.0762 
-15.4685 118.882 
-6.00355 116.998 
-11.7636 122.348 
-26.3889 -148.962 
-18.4825 97.4684 
-13.1129 148.937 
15.9176 -133.241 
13.6588 -90.9244 
-9.78599 172.334 
-20.6584 130.386 
10.9614 -98.2634 
-18.2689 114.203 
-9.9356 158.756 
1.54161 -50.7741 
-7.00778 153.394 
-2.86924 34.5407 
-13.2882 137.543 
9.51679 -109.698 
8.7132 -84.3014 
5.70454 -80.7988 
1.23162 -32.0019 
-26.1927 -93.8609 
25.3847 102.288 
18.5747 -95.5865 
11.1753 -118.686 
-3.42152 80.7637 
13.7086 -95.5437 
-26.7703 -65.9288 
-15.3454 166.594 
6.85051 -109.154 
-6.91688 128.67 
-10.2509 138.334 
-24.0149 -33.1649 
-18.3452 103.634 
1.07938 -53.1916 
-18.8832 107.847 
-9.11655 155.037 
26.2917 177.783 
1.95841 -21.0191 
-20.3846 84.7569 
-20.1996 47.4607 
24.5175 50.8036 
-4.08586 86.8923 
21.4874 -36.0944 
8.93719 -64.4889 
-15.6836 102.834 
-3.67695 68.4017 
10.1204 -110.811 
-13.4916 140.061 
14.5322 -99.8282 
-25.0361 -34.7405 
-15.03 107.572 
-14.3807 177.394 
-18.0399 124.289 
24.2545 29.8451 
6.53646 -79.3473 
-23.4708 -24.1213 
25.7677 141.811 
-17.7455 95.7971 
23.7452 22.5939 
-18.3555 99.6762 
-21.32 16.5705 
4.1459 -77.8043 
13.9453 -112.261 
-7.44748 114.241 
-2.42609 34.671 
-11.3526 101.043 
-15.3151 165.102 
11.4245 -116.651 
-6.32764 133.307 
-26.8256 -144.016 
8.8932 -110.644 
24.0864 41.6741 
5.72407 -67.0619 
18.0543 -147.003 
-9.21055 115.436 
14.4215 -117.639 
1.04237 -8.79473 
11.1489 -119.81 
-12.864 108.947 
-1.64708 19.4801 
25.7709 69.5331 
1.97253 3.69515 
-5.20662 93.8071 
23.3234 -1.8985 
17.032 -88.4953 
-18.6077 107.622 
-8.44488 130 
10.7169 -94.0445 
-16.6329 105.229 
-15.0306 128.662 
4.64485 -26.2453 
5.48843 -74.0205 
1.04418 0.861183 
1.69707 -44.8731 
9.02066 -55.1221 
3.86546 -32.0515 
-3.16909 43.8409 
1.19143 -7.76098 
-25.1068 -62.4174 
5.99997 -97.7368 
14.6896 -71.6922 
-0.710126 17.3906 
11.3643 -142.503 
1.64644 -38.9181 
-14.2883 159.69 
17.3436 -96.7586 
-14.5654 147.222 
23.5405 48.1439 
19.3734 -88.5298 
-21.6073 53.9789 
-8.39287 99.908 
3.95188 -18.4501 
-16.066 132.31 
16.4653 -97.9845 
-18.3827 99.4357 
-4.09679 43.5739 
8.16991 -96.3703 
-12.0313 128.101 
4.69055 -32.9004 
-16.7644 131.991 
11.8217 -124.315 
9.43341 -128.186 
16.9045 -97.0563 
-0.730582 26.7162 
-6.61583 88.2698 
-1.2074 33.6876 
-14.147 171.052 
-23.0304 -7.46034 
-0.870867 42.033 
-19.1054 97.3145 
-22.6626 29.1216 
-16.3037 128.409 
-16.3994 175.5 
-7.11706 146.667 
5.40716 -36.2076 
-6.79053 93.6635 
-1.09196 54.9699 
-7.68572 126.339 
-8.94744 134.216 
-10.0063 109.186 
5.52147 126.249 
0.8927 -70.76 
18.017 40.3858 
-2.26552 -103.238 
8.96255 88.4642 
-11.4127 -53.8166 
11.8344 -80.4314 
-6.8386 -127.845 
3.57386 -23.2343 
-11.1757 -42.7423 
4.82864 -11.0824 
24.0004 -134.856 
5.18007 109.251 
-21.3527 100.013 
8.56405 -144.325 
-16.4873 6.92174 
11.8689 101.125 
8.63393 42.908 
1.88331 -52.9713 
-3.112 -66.9997 
-20.6692 100.913 
-9.02187 10.7869 
23.2141 -77.0314 
5.22305 -75.9079 
-16.4064 100.799 
