id  csat  percent  expense  income       high    college
0    991        8     3627  27.498  66.900002  15.700000
1    920       41     8330  48.254  86.599998  23.000000
2    932       26     4309  32.093  78.699997  20.299999
3   1005        6     3700  24.643  66.300003  13.300000
4    897       47     4491  41.716  76.199997  23.400000
5    959       29     5064  35.123  84.400002  27.000000
6    897       81     7602  48.618  79.199997  27.200001
7    892       61     5865  40.641  77.500000  21.400000
8    840       71     9259  35.807  73.099998  33.299999
9    882       48     5276  32.027  74.400002  18.299999
10   844       62     4466  33.819  70.900002  19.299999
11   883       55     5166  45.248  80.099998  22.900000
12   968       18     3386  29.433  79.699997  17.700001
13  1006       16     5520  37.854  76.199997  21.000000
14   865       57     4930  33.558  75.599998  15.600000
15  1093        5     4679  30.565  80.099998  16.900000
16  1039       10     4874  31.803  81.300003  21.100000
17   993       11     4354  26.259  64.599998  13.600000
18   994        9     4146  25.578  68.300003  16.100000
19   879       64     5458  32.459  78.800003  18.799999
20   904       64     6566  45.897  78.400002  26.500000
21   896       79     6366  43.061  80.000000  27.200001
22   980       11     5883  36.148  76.800003  17.400000
23  1023       12     5239  36.019  82.400002  21.799999
24   997        4     3187  23.465  64.300003  14.700000
25  1002       12     4754  30.720  73.900002  17.799999
26   982       22     5204  26.788  81.000000  19.799999
27  1024       10     5038  30.317  81.800003  18.900000
28   919       25     4653  36.138  78.800003  15.300000
29   921       75     5672  42.335  82.199997  24.400000
30   886       74     8645  47.693  76.699997  24.900000
31   996       12     3895  28.069  75.099998  20.400000
32   881       75     8565  38.415  76.699997  23.100000
33   844       57     4488  31.052  70.000000  17.400000
34  1073        6     4199  27.051  76.699997  18.100000
35   946       22     5245  33.452  75.699997  17.000000
36   997        9     3791  27.475  74.599998  17.799999
37   922       54     5683  31.755  81.500000  20.600000
38   876       67     6541  33.875  74.699997  17.900000
39   880       67     6343  37.501  72.000000  21.299999
40   832       58     4351  30.597  68.300003  16.600000
41  1047        5     3965  26.223  77.099998  17.200001
42  1015       12     3782  28.908  67.099998  16.000000
43   874       44     4438  31.482  72.099998  20.299999
44  1031        5     2960  34.342  85.099998  22.299999
45   890       68     6738  34.717  80.800003  24.299999
46   890       60     4836  38.838  75.199997  24.500000
47   913       49     5000  36.338  83.800003  22.900000
48   926       17     4911  24.233  66.000000  12.300000
49  1023       11     5871  34.309  78.599998  17.700001
50   980       13     5723  31.576  83.000000  18.799999
