id   wdi_lifexp  p_polity2     gle_rgdpc
0     62.902683       -1.0   1131.479980
1     77.998390        9.0   7513.029785
2     75.635025        2.0   4765.540039
4     60.806732       -2.0   3326.770020
6     71.724754       -7.0   8639.200195
7     76.134003        8.0  13322.809570
8     82.300003       10.0  34061.648438
9     81.490242       10.0  34287.570312
11    76.725464      -10.0  19847.109375
12    71.871658        1.0   1584.910034
13    74.019585        5.0   5691.600098
15    81.287804        8.0  29785.650391
16    69.417976        5.0   4974.479980
17    68.350319        7.0   3549.669922
19    64.694389        8.0  11265.740234
20    74.958244        8.0   8658.540039
22    70.162315        8.0   1864.040039
24    74.465851        9.0  12321.429688
25    66.207222       -3.0   5057.709961
26    56.663319        6.0    585.369995
27    72.970734       -7.0  15685.250000
28    68.106247        2.0   1699.959961
29    57.087807       -4.0   2345.219971
30    81.953049       10.0  32266.580078
31    72.254318       10.0   3504.449951
32    50.591049        0.0    608.719971
33    74.814659        3.0   4822.609863
34    52.181072       -2.0   1456.479980
35    78.964485       10.0  13690.209961
36    75.957191       -7.0   8189.370117
38    73.978951        7.0   7728.669922
39    63.202145        9.0    857.770020
40    63.515316       -4.0   2090.560059
41    58.748611        5.0    285.950012
42    79.416855       10.0   8367.849609
43    77.478050        9.0  15896.759766
44    79.389709       -7.0   5204.649902
45    80.122047       10.0  24000.800781
46    78.824387        9.0  21036.779297
47    60.318123        7.0   1246.530029
48    80.699997       10.0  32998.488281
50    73.516197        8.0   9153.780273
51    75.859734        5.0   6404.009766
52    72.755295        8.0    293.109985
53    57.255535       -6.0  13596.120117
54    64.506905       -3.0    794.609985
55    64.163391       -7.0    888.570007
56    77.034149        9.0  17438.439453
57    70.071121        2.0   3395.159912
58    81.180489       10.0  32602.800781
59    82.670731        9.0  30000.179688
60    61.994316        3.0   2369.020020
61    65.203026        3.0  12813.519531
62    72.820633        7.0   6306.129883
63    60.713852       -5.0   1413.099976
64    81.090240       10.0  34833.320312
65    62.113781        8.0   2280.010010
67    81.436584       10.0  22314.300781
69    72.762024        8.0   3915.000000
70    58.824902        4.0    876.710022
71    66.426147        6.0   1802.079956
72    62.713146        0.0    904.159973
73    73.129906        7.0   2913.879883
74    75.763412       10.0  16152.940430
76    68.050026        9.0   3755.139893
77    68.868484        9.0   4216.700195
78    75.478195       -7.0  11370.309570
79    69.425613        6.0   3685.870117
80    81.348778       10.0  40951.378906
81    82.153656        6.0  22870.919922
82    83.090240       10.0  29050.769531
83    52.547073        4.0   1194.689941
84    75.658539        9.0   4118.569824
85    83.587807       10.0  31866.699219
86    71.620003       -6.0  12437.370117
87    74.044952       -3.0   4577.419922
88    66.194145        9.0   1318.489990
89    70.952072      -10.0   1524.199951
90    82.155853        8.0  29271.509766
91    74.623489       -7.0  56760.121094
92    70.402435        7.0   2655.489990
93    65.922638       -7.0   2581.860107
94    79.326271        6.0  12978.209961
95    53.093220        8.0   1358.329956
96    74.124390        8.0  14629.339844
97    61.501244        6.0    430.730011
98    71.719391        0.0   3619.330078
100   74.517075       10.0  15490.389648
101   82.229271       10.0  54168.160156
102   65.101318        6.0    725.669983
103   61.816608        6.0    827.770020
104   75.053711        5.0  10836.610352
106   56.986706        5.0    937.960022
108   62.870243       -2.0   1961.040039
109   74.194389       10.0   9654.759766
110   76.699173        8.0  12005.589844
112   68.882607       10.0   5538.069824
113   71.161682        9.0   3711.989990
114   76.638855        9.0  12825.200195
115   75.255150       -4.0   3528.219971
116   56.994343        5.0    751.940002
117   76.894562       -8.0  23076.009766
118   62.838928        6.0   3988.469971
120   69.498978        6.0   1289.780029
121   81.707314       10.0  37278.339844
123   81.404877       10.0  23360.619141
124   74.772781        9.0   2229.290039
125   59.240513        6.0    568.580017
126   52.541340        4.0   1982.040039
127   82.099998       10.0  50842.699219
131   66.149193        7.0   2519.030029
132   77.625443        9.0  13353.190430
133   65.234070        5.0   1493.959961
134   72.932411        9.0   4245.729980
135   74.485367        9.0   8139.759766
136   68.870171        8.0   3487.239990
137   77.602440       10.0  17635.070312
138   81.121948       10.0  20946.400391
139   56.548218        6.0    847.979980
140   68.292953        8.0   1727.089966
141   78.303513      -10.0  91787.539062
142   74.960976        9.0  12846.919922
143   70.743660        4.0  16817.089844
144   66.113342       -3.0   1270.640015
150   74.397392      -10.0  18412.929688
151   66.257828        7.0   1347.920044
152   75.336586        8.0  10007.080078
154   50.942608        7.0    864.469971
155   82.495125       -2.0  47872.820312
156   76.812195       10.0  19210.070312
157   75.695290       -7.0   3658.790039
158   81.078049       10.0  21574.429688
159   55.465683        5.0   1267.430054
160   60.954781        9.0   7780.640137
161   59.244316        4.0  14112.400391
162   83.229271       10.0  27422.929688
165   71.146973        5.0   5336.279785
166   56.101463       -9.0   3625.689941
167   82.253662       10.0  34404.781250
168   83.197563       10.0  44508.519531
169   70.163223       -9.0   3779.510010
170   70.826973       -3.0   3169.260010
171   74.864052       -3.0   8200.110352
172   59.576340       -2.0    914.159973
174   70.459656       10.0  19486.019531
175   77.329369       -8.0  17916.630859
176   75.314339        7.0   6097.689941
177   75.152145        3.0  14909.019531
178   67.490685       -8.0  11659.759766
180   59.155804       -1.0   1185.130005
181   71.186584        4.0   8227.599609
182   75.358002        9.0   8478.019531
183   71.109558       -4.0   4938.529785
184   81.304878       10.0  30691.039062
185   64.118484       -1.0   1249.390015
186   78.741463       10.0  42140.191406
187   59.375294        0.0    966.809998
188   76.982094       10.0  11295.830078
189   70.993393       -9.0   6502.109863
190   74.226143        4.0   9274.929688
192   64.507172        0.0   1915.089966
193   60.715340        7.0   1690.900024
